"region_seqnames","region_start","region_end","region_width","region_sign","region_deltaEV1_mean","region_deltaEV1_min","region_deltaEV1_max","region_deltaEV2_mean","region_deltaEV2_min","region_deltaEV2_max","region_n_bins","gene_seqnames","gene_start","gene_end","gene_width","gene_gene_id","gene_gene_symbol"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9424902,9503293,78392,"100529215","ZNF559-ZNF177"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9513102,9556254,43153,"10781","ZNF266"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9314526,9335547,21022,"125958","OR7D4"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9567031,9619279,52249,"147741","ZNF560"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9852669,9889410,36742,"162993","ZNF846"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9286270,9309493,23224,"162998","OR7D2"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9351720,9372739,21020,"26648","OR7E24"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9722158,9755538,33381,"284385","ZNF561-AS1"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9395986,9425795,29810,"374879","ZNF699"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9749338,9795776,46439,"54811","ZNF562"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9790600,9821493,30894,"729648","ZNF812P"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9666292,9705209,38918,"7675","ZNF121"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9463696,9503293,39598,"7730","ZNF177"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9628681,9659303,30623,"79088","ZNF426"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9424448,9464521,40074,"84527","ZNF559"
"chr19",9300001,9900000,600000,1,0.0424343744101093,0.0386788362032631,0.0507891130346603,-0.027988571847392,-0.0341121391780828,-0.0200756977879711,6,"chr19",9708002,9741916,33915,"93134","ZNF561"
"chr19",36800001,38300000,1500000,1,0.0621733090594261,0.0463773866657189,0.0717962022424473,-0.0298642182783904,-0.0360077516673745,-0.0193621589878412,15,"chr19",36792245,36813570,21326,"100134317","LOC100134317"
"chr19",36800001,38300000,1500000,1,0.0621733090594261,0.0463773866657189,0.0717962022424473,-0.0298642182783904,-0.0360077516673745,-0.0193621589878412,15,"chr19",36793963,36832620,38658,"100506930","LINC00665"
"chr19",36800001,38300000,1500000,1,0.0621733090594261,0.0463773866657189,0.0717962022424473,-0.0298642182783904,-0.0360077516673745,-0.0193621589878412,15,"chr19",38029851,38088248,58398,"100507433","ZNF571-AS1"
"chr19",36800001,38300000,1500000,1,0.0621733090594261,0.0463773866657189,0.0717962022424473,-0.0298642182783904,-0.0360077516673745,-0.0193621589878412,15,"chr19",38219203,38317940,98738,"126231","ZNF573"
"chr19",36800001,38300000,1500000,1,0.0621733090594261,0.0463773866657189,0.0717962022424473,-0.0298642182783904,-0.0360077516673745,-0.0193621589878412,15,"chr19",37559382,37630651,71270,"147923","ZNF420"
"chr19",36800001,38300000,1500000,1,0.0621733090594261,0.0463773866657189,0.0717962022424473,-0.0298642182783904,-0.0360077516673745,-0.0193621589878412,15,"chr19",37892060,37970169,78110,"148266","ZNF569"
