"region_chr","region_start","region_end","promoter_chr","promoter_start","promoter_end","gene_id","overlap_bp","frac_region_covered","frac_promoter_covered"
"chr1",34300001,34800000,"chr1",34631443,34631443,"114784",1,2e-06,1
"chr1",34300001,34800000,"chr1",34326076,34326076,"127540",1,2e-06,1
"chr1",34300001,34800000,"chr1",34334557,34334557,"402779",1,2e-06,1
"chr1",34300001,34800000,"chr1",34632624,34632624,"84970",1,2e-06,1
"chr1",59300001,59700000,"chr1",59612479,59612479,"729467",1,2.5e-06,1
"chr1",75200001,75600000,"chr1",75594119,75594119,"431707",1,2.5e-06,1
"chr1",115900001,116500000,"chr1",116383747,116383747,"4808",1,1.66666666666667e-06,1
"chr1",115900001,116500000,"chr1",116184574,116184574,"81839",1,1.66666666666667e-06,1
"chr1",115900001,116500000,"chr1",116311426,116311426,"845",1,1.66666666666667e-06,1
"chr1",118700001,118900000,"chr1",118727848,118727848,"200162",1,5e-06,1
"chr1",120000001,120200000,"chr1",120106503,120106503,"128102",1,5e-06,1
"chr1",120000001,120200000,"chr1",120049826,120049826,"3283",1,5e-06,1
"chr1",120000001,120200000,"chr1",120141914,120141914,"644242",1,5e-06,1
"chr1",120000001,120200000,"chr1",120190390,120190390,"90874",1,5e-06,1
"chr1",174200001,174800000,"chr1",174417212,174417212,"9293",1,1.66666666666667e-06,1
"chr1",175700001,175900000,"chr1",175712752,175712752,"7143",1,5e-06,1
"chr1",176900001,177200000,"chr1",177134024,177134024,"460",1,3.33333333333333e-06,1
"chr1",176900001,177200000,"chr1",176998581,176998581,"574441",1,3.33333333333333e-06,1
"chr1",176900001,177200000,"chr1",177140633,177140633,"57795",1,3.33333333333333e-06,1
"chr1",219800001,220100000,"chr1",220046619,220046619,"26828",1,3.33333333333333e-06,1
"chr1",243700001,244400000,"chr1",244006886,244006886,"10000",1,1.42857142857143e-06,1
"chr1",243700001,244400000,"chr1",244212241,244212241,"10472",1,1.42857142857143e-06,1
"chr1",243700001,244400000,"chr1",244080704,244080704,"339529",1,1.42857142857143e-06,1
"chr1",247400001,248900000,"chr1",247579458,247579458,"114548",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248308450,248308450,"127059",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248366370,248366370,"127062",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248458880,248458880,"127064",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248512077,248512077,"127066",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248738058,248738058,"127068",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248757069,248757069,"127069",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248524883,248524883,"127074",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248790429,248790429,"127077",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247615284,247615284,"127623",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247670394,247670394,"148823",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247694106,247694106,"148824",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248550910,248550910,"254879",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248020501,248020501,"25893",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247921708,247921708,"26188",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248402231,248402231,"26245",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248201474,248201474,"26246",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248153569,248153569,"26247",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248569296,248569296,"26696",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248100493,248100493,"284521",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247979031,247979031,"284532",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247876057,247876057,"343169",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248058889,248058889,"343171",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248084320,248084320,"343172",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248636652,248636652,"343173",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248722792,248722792,"343563",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248285438,248285438,"388762",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248005198,248005198,"391189",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248112160,248112160,"391190",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248128634,248128634,"391191",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248223984,248223984,"391192",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248343288,248343288,"391194",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248437116,248437116,"391195",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248487870,248487870,"391196",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248684948,248684948,"391211",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248616099,248616099,"401992",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248651890,248651890,"401993",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248845605,248845605,"401994",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248814185,248814185,"403239",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248802559,248802559,"403244",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247654370,247654370,"441932",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",247836343,247836343,"441933",1,6.66666666666667e-07,1
"chr1",247400001,248900000,"chr1",248185250,248185250,"81466",1,6.66666666666667e-07,1
