"region_seqnames","region_start","region_end","region_width","region_sign","region_deltaEV1_mean","region_deltaEV1_min","region_deltaEV1_max","region_deltaEV2_mean","region_deltaEV2_min","region_deltaEV2_max","region_n_bins","gene_seqnames","gene_start","gene_end","gene_width","gene_gene_id","gene_gene_symbol"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",16962069,16986915,24847,"11209","MST1P2"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",17071129,17100975,29847,"11223","MST1L"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",17383256,17455948,72693,"11240","PADI2"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",16783931,16829196,45266,"114819","CROCCP3"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",17302453,17348423,45971,"23400","ATP13A2"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",16683525,16734643,51119,"26099","SZRD1"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",17007713,17056652,48940,"284729","ESPNP"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",16712176,16773919,61744,"374955","SPATA21"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",17290999,17318081,27083,"4237","MFAP2"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",16878922,16950100,71179,"55672","NBPF1"
"chr1",16700001,17400000,700000,1,0.102173102982585,0.0303962371941991,0.140653805347472,0.105131006619285,0.0316230539319396,0.145260349965088,7,"chr1",16757167,16796584,39418,"55707","NECAP2"
